ID,Manufacturer,Model,Nickname,Year Start,Year End,Engine Size,Tyre Size ,Wheel Size ,Part code,Sell Inc Vat,Cost,Logo Image,Image 1,Image 2,Image 3
9353,Vauxhall,Astra,G,1998,2004,"1.2i,1.4i,1.6i,1.7 CDTI,1.7 DTI,1.8i,2.0 DTI",125/80/17,"17""",RH047,249,155,Picture,Picture,Picture,Picture
9379,Vauxhall,Astra,G,1998,2004,"1.8i,2.2 DTI,2.2i",125/80/17,"17""",RH047,249,155,Picture,Picture,Picture,Picture
9394,Vauxhall,Astra,G,1998,2004,2.0T,125/80/17,"17""",RH047,249,155,Picture,Picture,Picture,Picture
9352,Vauxhall,Astra,H,2004,2010,"1.3 CDTI,1.4i,1.6i,1.7 CTDI,1.8i,1.9 CDTI,1.9 CTDI",125/80/17,"17""",RH047,249,155,Picture,Picture,Picture,Picture
9385,Vauxhall,Astra,H,2004,2010,"1.8i,1.9 CTDI,2.0T",125/80/17,"17""",RH047,249,155,Picture,Picture,Picture,Picture
9399,Vauxhall,Astra,H,2004,2010,2.0T,125/80/17,"17""",RH047,249,155,Picture,Picture,Picture,Picture
9351,Vauxhall,Astra,J,2009,2012,"1.3 CDTI,1.4i,1.4T,1.6i",135/80/17,"17""",RH154,249,155,Picture,Picture,Picture,Picture
9371,Vauxhall,Astra,J,2009,2012,"1.7 CDTI,2.0 CDTI",135/80/17,"17""",RH153,249,155,Picture,Picture,Picture,Picture
9383,Vauxhall,Astra,J,2009,2012,1.6T,135/80/17,"17""",RH153,249,155,Picture,Picture,Picture,Picture
9350,Vauxhall,Astra,J Facelift,2012,2015,"1.3 CDTI,1.4i,1.4T,1.6i",135/80/17,"17""",RH154,249,155,Picture,Picture,Picture,Picture
9365,Vauxhall,Astra,J Facelift,2012,2015,"1.6 CDTI,1.7 CDTI,2.0 CDTI",135/80/17,"17""",RH153,249,155,Picture,Picture,Picture,Picture
9376,Vauxhall,Astra,J Facelift,2012,2015,"1.6T,2.0 CDTI",135/80/17,"17""",RH153,249,155,Picture,Picture,Picture,Picture
