ID,Manufacturer,Model,Nickname,Year Start,Year End,Engine Size,Tyre Size ,Wheel Size ,ROAD HERO SKU,SRP INC VAT,Trade Price
9619,Volkswagen,Golf,Mk4,1997,2006,"1.8T GTI,2.3i,2.8i",125/80/17,"17""",RH032,249,155
9633,Volkswagen,Golf,Mk4,1997,2006,3.2i R32,135/80/17,"17""",RH150,249,155
9583,Volkswagen,Golf,Mk5,2003,2009,"1.4FSi,1.4TSi,1.6FSi,1.9TDi",125/80/17,"17""",RH033,249,155
9595,Volkswagen,Golf,Mk5,2003,2009,"1.4TSi,2.0FSi,2.0TDi",125/80/17,"17""",RH033,249,155
9609,Volkswagen,Golf,Mk5,2003,2009,2.0GTi,125/80/17,"17""",RH033,249,155
9613,Volkswagen,Golf,Mk5,2003,2009,3.2i R32,125/80/17,"17""",RH033,249,155
9580,Volkswagen,Golf,Mk6,2008,2014,"1.2TSi,1.4TSi,1.6i,1.6TDi,2.0TDi",125/80/17,"17""",RH033,249,155
9593,Volkswagen,Golf,Mk6,2008,2014,"1.4TSi,1.8TSi,2.0TDi GTD",125/80/17,"17""",RH033,249,155
9600,Volkswagen,Golf,Mk6,2008,2014,2.0GTi,125/80/17,"17""",RH033,249,155
9607,Volkswagen,Golf,Mk6,2008,2014,2.0 R,125/80/17,"17""",RH033,249,155
9582,Volkswagen,Golf,Mk7,2012,2017,"1.0TSi,1.2TSi,1.4TGi,1.4TSi,1.6MPi,1.6TDi,e-Golf",125/80/17,"17""",RH033,249,155
9603,Volkswagen,Golf,Mk7,2012,2017,"1.4TSi,2.0TDi",125/80/17,"17""",RH033,249,155
9612,Volkswagen,Golf,Mk7,2012,2017,1.4GTE,125/80/17,"17""",RH033,249,155
9577,Volkswagen,Golf,Mk7 Facelift,2017,2020,"1.0 TSI,1.2 TSI,1.4 TGI,1.4 TSI,1.6 TDI",125/80/17,"17""",RH033,249,155
9592,Volkswagen,Golf,Mk7 Facelift,2017,2020,"1.4 TSI,1.5 TGI,1.5 TSI,2.0 TDI",125/80/17,"17""",RH033,249,155
9608,Volkswagen,Golf,Mk7 Facelift,2017,2020,"1.4 TSI,2.0 TDI",125/80/17,"17""",RH033,249,155
9616,Volkswagen,Golf,Mk7 Facelift,2017,2020,2.0 TSI,125/80/17,"17""",RH033,249,155
9578,Volkswagen,Golf,Mk8,2019,1900,"1.0 eTSI,1.0 TSI,1.5 eTSI,1.5 TGI,1.5 TSI,2.0 TDI",125/80/17,"17""",RH033,249,155
9594,Volkswagen,Golf,Mk8,2019,1900,"1.4 eTSI,1.5 eTSI,1.5 TSI,2.0 TDI",125/80/17,"17""",RH033,249,155
9610,Volkswagen,Golf,Mk8,2019,1900,2.0 TDI,125/80/17,"17""",RH033,249,155
9615,Volkswagen,Golf,Mk8,2019,1900,"1.4 TSI PHEV,2.0 TSI",125/80/17,"17""",RH033,249,155
9625,Volkswagen,Golf,Mk8,2019,1900,2.0 TSI,125/80/17,"17""",RH033,249,155
9591,Volkswagen,Golf Alltrack,Mk7,2015,2017,1.6 TDI,125/80/17,"17""",RH033,249,155
9596,Volkswagen,Golf Alltrack,Mk7,2015,2017,"1.8 TSI,2.0 TDI,2.0 TSI",125/80/17,"17""",RH033,249,155
9588,Volkswagen,Golf Alltrack,Mk7 Facelift,2017,2020,"1.8 TSI,2.0 TDI",125/80/17,"17""",RH033,249,155
9589,Volkswagen,Golf Alltrack,Mk8,2020,1900,2.0 TDI,125/80/17,"17""",RH033,249,155
9618,Volkswagen,Golf Cabriolet,Mk1,1979,1993,"1.5,1.6,1.8",125/80/15,"15""",RH017,199,125
9642,Volkswagen,Golf Cabriolet,Mk1,1979,1993,"1.6,1.8",125/80/15,"15""",RH017,199,125
9598,Volkswagen,Golf Cabriolet,Mk3,1993,1998,"1.6i,1.8i,1.9TDi,2.0i",125/80/15,"15""",RH017,199,125
9606,Volkswagen,Golf Cabriolet,Mk4,1998,2002,"1.6i,1.8i,1.9TDi,2.0i",125/80/15,"15""",RH017,199,125
9597,Volkswagen,Golf Cabriolet,Mk6,2011,2016,"1.2TSi,1.6TDi,2.0TDi",125/80/17,"17""",RH033,249,155
9611,Volkswagen,Golf Cabriolet,Mk6,2011,2016,"1.4TSi,2.0TDi",125/80/17,"17""",RH033,249,155
